****                   ADMIXTURE Version 1.3.0                  ****
****                    Copyright 2008-2015                     ****
****           David Alexander, Suyash Shringarpure,            ****
****                John  Novembre, Ken Lange                   ****
****                                                            ****
****                 Please cite our paper!                     ****
****   Information at www.genetics.ucla.edu/software/admixture  ****

Cross-validation will be performed.  Folds=5.
Random seed: 43
Point estimation method: Block relaxation algorithm
Convergence acceleration algorithm: QuasiNewton, 3 secant conditions
Point estimation will terminate when objective function delta < 0.0001
Estimation of standard errors disabled; will compute point estimates only.
Size of G: 94x523
Performing five EM steps to prime main algorithm
1 (EM) 	Elapsed: 0.005	Loglikelihood: -63289	(delta): 7935.65
52 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -60250	(delta): 0.0104384
53 (QN/Block) 	Elapsed: 0.008	Loglikelihood: -60249.7	(delta): 0.267263
54 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -60249.7	(delta): 0.0110312
55 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -60249.7	(delta): 0.0141542
56 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -60249.7	(delta): 0.0142432
57 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -60249.7	(delta): 0.0143619
58 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -60249.6	(delta): 0.0144935
59 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -60249.6	(delta): 0.0146318
60 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -60249.6	(delta): 0.0147743
61 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -60249.6	(delta): 0.0149202
62 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -60249.6	(delta): 0.0150691
63 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -60249.6	(delta): 0.0152209
64 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -60249.6	(delta): 0.0153758
65 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -60249.5	(delta): 0.0155336
66 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -60249.5	(delta): 0.0156946
67 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -60249.5	(delta): 0.0158587
68 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -60249.5	(delta): 0.0160262
69 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -60249.5	(delta): 0.016197
70 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -60249.5	(delta): 0.0163714
71 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -60249.4	(delta): 0.0165493
72 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -60249.4	(delta): 0.0167309
73 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -60249.4	(delta): 0.0169164
74 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -60249.4	(delta): 0.0171058
75 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -60249.4	(delta): 0.0172992
76 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -60249.4	(delta): 0.0174969
77 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -60249.3	(delta): 0.0176989
78 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -60249.3	(delta): 0.0179055
79 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -60249.3	(delta): 0.0181166
80 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -60249.3	(delta): 0.0183325
81 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -60249.3	(delta): 0.0185534
82 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -60249.2	(delta): 0.0187794
83 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -60249.2	(delta): 0.0190108
84 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -60249.2	(delta): 0.0192476
85 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -60249.2	(delta): 0.0194901
86 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -60249.2	(delta): 0.0197385
87 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -60249.2	(delta): 0.0199931
88 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -60249.1	(delta): 0.0202539
89 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -60249.1	(delta): 0.0205214
90 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -60249.1	(delta): 0.0207957
91 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -60249.1	(delta): 0.021077
92 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -60249	(delta): 0.0213658
93 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -60249	(delta): 0.0216622
94 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -60249	(delta): 0.0219666
95 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -60249	(delta): 0.0222793
96 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -60249	(delta): 0.0226006
97 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -60248.9	(delta): 0.0229309
98 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -60248.9	(delta): 0.0232706
99 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -60248.9	(delta): 0.0236201
100 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -60248.9	(delta): 0.0239798
101 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -60248.8	(delta): 0.0243502
102 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -60248.8	(delta): 0.0247317
103 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -60248.8	(delta): 0.0251249
104 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -60248.8	(delta): 0.0255302
105 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -60248.7	(delta): 0.0259483
106 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -60248.7	(delta): 0.0263798
107 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -60248.7	(delta): 0.0268253
108 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -60248.7	(delta): 0.0272856
109 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -60248.6	(delta): 0.0277613
110 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -60248.6	(delta): 0.0282532
111 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -60248.6	(delta): 0.0287623
112 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -60248.5	(delta): 0.0292893
113 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -60248.5	(delta): 0.0298354
114 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -60248.5	(delta): 0.0304014
115 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -60248.5	(delta): 0.0309886
116 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -60248.4	(delta): 0.0315981
117 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -60248.4	(delta): 0.0322312
118 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -60248.4	(delta): 0.0328894
119 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -60248.3	(delta): 0.0335741
120 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -60248.3	(delta): 0.0342871
121 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -60248.3	(delta): 0.03503
122 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -60248.2	(delta): 0.0358048
123 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -60248.2	(delta): 0.0366137
124 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -60248.1	(delta): 0.0374588
125 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -60248.1	(delta): 0.0383428
126 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -60248.1	(delta): 0.0392683
127 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -60248	(delta): 0.0402385
128 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -60248	(delta): 0.0412565
129 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -60247.9	(delta): 0.0423261
130 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -60247.9	(delta): 0.0434512
131 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -60247.9	(delta): 0.0446365
132 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -60247.8	(delta): 0.0458868
133 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -60247.8	(delta): 0.0472077
134 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -60247.7	(delta): 0.0486055
135 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -60247.7	(delta): 0.050087
136 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -60247.6	(delta): 0.0516586
137 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -60247.6	(delta): 0.0533307
138 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -60247.5	(delta): 0.0551135
139 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -60247.4	(delta): 0.0570183
140 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -60247.4	(delta): 0.0590583
141 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -60247.3	(delta): 0.0612487
142 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -60247.3	(delta): 0.0636071
143 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -60247.2	(delta): 0.0661542
144 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -60247.1	(delta): 0.0689139
145 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -60247.1	(delta): 0.0719151
146 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -60247	(delta): 0.0751912
147 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -60246.9	(delta): 0.078781
148 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -60246.8	(delta): 0.082738
149 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -60246.6	(delta): 0.190037
150 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -60245.6	(delta): 1.06545
151 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -60245.4	(delta): 0.177068
152 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -60245.2	(delta): 0.189446
153 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -60245	(delta): 0.208158
154 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -60244.8	(delta): 0.23079
155 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -60244.5	(delta): 0.258548
156 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -60243.9	(delta): 0.562468
157 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -60243	(delta): 0.984273
158 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -60242.5	(delta): 0.449654
159 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -60242.1	(delta): 0.432486
160 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -60241.7	(delta): 0.384218
161 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -60241.4	(delta): 0.301002
162 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -60241.1	(delta): 0.272402
163 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -60241	(delta): 0.0685273
164 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -60241	(delta): 0.00944835
165 (QN/Block) 	Elapsed: 0.008	Loglikelihood: -60241	(delta): 0.017575
166 (QN/Block) 	Elapsed: 0.008	Loglikelihood: -60241	(delta): 0.00778741
167 (QN/Block) 	Elapsed: 0.008	Loglikelihood: -60241	(delta): 0.000899444
168 (QN/Block) 	Elapsed: 0.008	Loglikelihood: -60241	(delta): 9.30138e-05
Summary: 
Converged in 168 iterations (1.737 sec)
Loglikelihood: -60241.006495
Fst divergences between estimated populations: 
	Pop0	Pop1	Pop2	
Pop0	
Pop1	0.192	
Pop2	0.092	0.208	
Pop3	0.074	0.185	0.032	
CV error (K=4): 0.08084
Writing output files.
