
Analysis complete for Hmi-ABas_003-Ex1-03A.clmp.fp2_repr.R1.fq.gz
Started analysis of Hmi-ABas_003-Ex1-03A.clmp.fp2_repr.R1.fq.gz
Skipping 'Hmi-ABas_033-Ex1-09C.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-ABas_034-Ex1-10C.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-ABas_036-Ex1-12C.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-ABas_037-Ex1-01D.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-ABas_038-Ex1-02D.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-ABas_039-Ex1-03D.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-ABas_040-Ex1-04D.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Analysis complete for Hmi-CPar_047-Ex1-08B.clmp.fp2_repr.R1.fq.gz
Started analysis of Hmi-CPar_047-Ex1-08B.clmp.fp2_repr.R1.fq.gz
Approx 5% complete for Hmi-CPar_047-Ex1-08B.clmp.fp2_repr.R1.fq.gz
Approx 10% complete for Hmi-CPar_047-Ex1-08B.clmp.fp2_repr.R1.fq.gz
Approx 15% complete for Hmi-CPar_047-Ex1-08B.clmp.fp2_repr.R1.fq.gz
Approx 20% complete for Hmi-CPar_047-Ex1-08B.clmp.fp2_repr.R1.fq.gz
Approx 25% complete for Hmi-CPar_047-Ex1-08B.clmp.fp2_repr.R1.fq.gz
Approx 30% complete for Hmi-CPar_047-Ex1-08B.clmp.fp2_repr.R1.fq.gz
Approx 35% complete for Hmi-CPar_047-Ex1-08B.clmp.fp2_repr.R1.fq.gz
Approx 40% complete for Hmi-CPar_047-Ex1-08B.clmp.fp2_repr.R1.fq.gz
Approx 45% complete for Hmi-CPar_047-Ex1-08B.clmp.fp2_repr.R1.fq.gz
Approx 50% complete for Hmi-CPar_047-Ex1-08B.clmp.fp2_repr.R1.fq.gz
Approx 55% complete for Hmi-CPar_047-Ex1-08B.clmp.fp2_repr.R1.fq.gz
Approx 60% complete for Hmi-CPar_047-Ex1-08B.clmp.fp2_repr.R1.fq.gz
Approx 65% complete for Hmi-CPar_047-Ex1-08B.clmp.fp2_repr.R1.fq.gz
Approx 70% complete for Hmi-CPar_047-Ex1-08B.clmp.fp2_repr.R1.fq.gz
Approx 75% complete for Hmi-CPar_047-Ex1-08B.clmp.fp2_repr.R1.fq.gz
Approx 80% complete for Hmi-CPar_047-Ex1-08B.clmp.fp2_repr.R1.fq.gz
Approx 85% complete for Hmi-CPar_047-Ex1-08B.clmp.fp2_repr.R1.fq.gz
Approx 90% complete for Hmi-CPar_047-Ex1-08B.clmp.fp2_repr.R1.fq.gz
Approx 95% complete for Hmi-CPar_047-Ex1-08B.clmp.fp2_repr.R1.fq.gz
Skipping 'Hmi-ABas_041-Ex1-05D.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-ABas_042-Ex1-06D.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-ABas_043-Ex1-07D.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-ABas_044-Ex1-08D.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-ABas_045-Ex1-09D.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-ABas_046-Ex1-10D.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-ABas_047-Ex1-11D.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-AMac_001-Ex1-12D.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-AMac_004-Ex1-03G.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-AMac_002-Ex1-01G.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-AMac_003-Ex1-02G.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-AMac_005-Ex1-04G.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-AMac_006-Ex1-05G.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-AMac_007-Ex1-06G.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-AMac_009-Ex1-08G.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-AMac_008-Ex1-07G.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-AMac_010-Ex1-09G.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-AMac_011-Ex1-10G.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-AMac_013-Ex1-12G.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-AMac_014-Ex1-01H.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-AMac_012-Ex1-11G.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-AMac_016-Ex1-03H.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-AMac_017-Ex1-04H.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-AMac_015-Ex1-02H.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-AMac_018-Ex1-05H.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-AMac_019-Ex1-06H.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-AMac_020-Ex1-07H.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-AMac_021-Ex1-08H.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-AMac_022-Ex1-09H.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-AMac_023-Ex1-10H.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-AMac_024-Ex1-11H.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-AMac_026-Ex1-01E.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-AMac_025-Ex1-12H.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Analysis complete for Hmi-AMac_047-Ex1-10F.clmp.fp2_repr.R2.fq.gz
Started analysis of Hmi-AMac_047-Ex1-10F.clmp.fp2_repr.R2.fq.gz
Approx 5% complete for Hmi-AMac_047-Ex1-10F.clmp.fp2_repr.R2.fq.gz
Approx 10% complete for Hmi-AMac_047-Ex1-10F.clmp.fp2_repr.R2.fq.gz
Approx 15% complete for Hmi-AMac_047-Ex1-10F.clmp.fp2_repr.R2.fq.gz
Approx 20% complete for Hmi-AMac_047-Ex1-10F.clmp.fp2_repr.R2.fq.gz
Approx 25% complete for Hmi-AMac_047-Ex1-10F.clmp.fp2_repr.R2.fq.gz
Approx 30% complete for Hmi-AMac_047-Ex1-10F.clmp.fp2_repr.R2.fq.gz
Approx 35% complete for Hmi-AMac_047-Ex1-10F.clmp.fp2_repr.R2.fq.gz
Approx 40% complete for Hmi-AMac_047-Ex1-10F.clmp.fp2_repr.R2.fq.gz
Approx 45% complete for Hmi-AMac_047-Ex1-10F.clmp.fp2_repr.R2.fq.gz
Approx 50% complete for Hmi-AMac_047-Ex1-10F.clmp.fp2_repr.R2.fq.gz
Approx 55% complete for Hmi-AMac_047-Ex1-10F.clmp.fp2_repr.R2.fq.gz
Approx 60% complete for Hmi-AMac_047-Ex1-10F.clmp.fp2_repr.R2.fq.gz
Approx 65% complete for Hmi-AMac_047-Ex1-10F.clmp.fp2_repr.R2.fq.gz
Approx 70% complete for Hmi-AMac_047-Ex1-10F.clmp.fp2_repr.R2.fq.gz
Approx 75% complete for Hmi-AMac_047-Ex1-10F.clmp.fp2_repr.R2.fq.gz
Approx 80% complete for Hmi-AMac_047-Ex1-10F.clmp.fp2_repr.R2.fq.gz
Approx 85% complete for Hmi-AMac_047-Ex1-10F.clmp.fp2_repr.R2.fq.gz
Approx 90% complete for Hmi-AMac_047-Ex1-10F.clmp.fp2_repr.R2.fq.gz
Approx 95% complete for Hmi-AMac_047-Ex1-10F.clmp.fp2_repr.R2.fq.gz
Skipping 'Hmi-AMac_027-Ex1-02E.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-AMac_028-Ex1-03E.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-AMac_029-Ex1-04E.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-AMac_030-Ex1-05E.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-AMac_031-Ex1-06E.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-AMac_033-Ex1-08E.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-AMac_032-Ex1-07E.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-AMac_034-Ex1-09E.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-AMac_036-Ex1-11E.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-AMac_038-Ex1-01F.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-AMac_037-Ex1-12E.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-AMac_035-Ex1-10E.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-AMac_039-Ex1-02F.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-AMac_040-Ex1-03F.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-AMac_042-Ex1-05F.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-AMac_041-Ex1-04F.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-AMac_044-Ex1-07F.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-AMac_043-Ex1-06F.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-AMac_046-Ex1-09F.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-AMac_047-Ex1-10F.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-AMac_045-Ex1-08F.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-AMac_048-Ex1-11F.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-CBas_001-Ex1-01A.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-AMac_049-Ex1-12F.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-CBas_002-Ex1-09C.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-CBas_003-Ex1-09F.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-CBas_004-Ex1-10B.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-CBas_005-Ex1-10G.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-CBas_007-Ex1-04F.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-CBas_006-Ex1-03H.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-CBas_009-Ex1-05G.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-CBas_010-Ex1-06E.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-CBas_008-Ex1-05C.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-CBas_011-Ex1-12E.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-CBas_012-Ex1-12G.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-CBas_013-Ex1-01B.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-CBas_014-Ex1-09D.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-CBas_015-Ex1-09G.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-CBas_018-Ex1-11B.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-CBas_017-Ex1-10H.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-CBas_019-Ex1-04G.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-CBas_016-Ex1-10C.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-CBas_020-Ex1-11G.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-CBas_021-Ex1-12C.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-CBas_022-Ex1-06F.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-CBas_025-Ex1-01C.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-CBas_023-Ex1-12F.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-CBas_024-Ex1-12H.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-CBas_026-Ex1-01G.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-CBas_027-Ex1-02D.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-CBas_028-Ex1-02H.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-CBas_029-Ex1-03C.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-CBas_030-Ex1-04A.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-CBas_031-Ex1-04H.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-CBas_032-Ex1-05D.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-CBas_033-Ex1-05H.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-CBas_034-Ex1-06G.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-CBas_035-Ex1-07E.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-CBas_037-Ex1-09A.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-CBas_036-Ex1-08C.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-CBas_038-Ex1-01H.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-CBas_039-Ex1-09H.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-CBas_041-Ex1-03D.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-CBas_040-Ex1-03A.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-CBas_043-Ex1-05A.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-CBas_044-Ex1-05E.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-CBas_045-Ex1-06A.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-CBas_046-Ex1-06H.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-CBas_047-Ex1-07F.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-CBas_048-Ex1-08D.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-CPar_001-Ex1-01D.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-CPar_004-Ex1-10D.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-CPar_002-Ex1-02A.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-CPar_003-Ex1-02E.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-CPar_005-Ex1-03E.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-CPar_006-Ex1-04C.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-CPar_007-Ex1-11D.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-CPar_008-Ex1-11H.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-CPar_009-Ex1-06B.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-CPar_010-Ex1-07A.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-CPar_012-Ex1-08E.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-CPar_011-Ex1-07G.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-CPar_013-Ex1-09B.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-CPar_014-Ex1-02B.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-CPar_016-Ex1-10E.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-CPar_018-Ex1-04D.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-CPar_017-Ex1-03F.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-CPar_015-Ex1-02F.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-CPar_019-Ex1-11E.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-CPar_020-Ex1-12A.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-CPar_021-Ex1-12D.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-CPar_022-Ex1-07B.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-CPar_023-Ex1-07H.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-CPar_024-Ex1-08F.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-CPar_025-Ex1-01E.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-CPar_029-Ex1-03G.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-CPar_027-Ex1-10A.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-CPar_026-Ex1-02C.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-CPar_030-Ex1-11C.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-CPar_028-Ex1-03B.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-CPar_031-Ex1-05B.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-CPar_033-Ex1-06C.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-CPar_032-Ex1-12B.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-CPar_034-Ex1-07C.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-CPar_035-Ex1-08A.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-CPar_036-Ex1-08G.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-CPar_037-Ex1-01F.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-CPar_038-Ex1-09E.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-CPar_039-Ex1-02G.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-CPar_040-Ex1-10F.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-CPar_041-Ex1-11A.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-CPar_042-Ex1-04E.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-CPar_043-Ex1-11F.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-CPar_045-Ex1-06D.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-CPar_044-Ex1-05F.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-CPar_047-Ex1-08B.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Analysis complete for Hmi-CPar_048-Ex1-08H.clmp.fp2_repr.R1.fq.gz
Started analysis of Hmi-CPar_048-Ex1-08H.clmp.fp2_repr.R1.fq.gz
Approx 5% complete for Hmi-CPar_048-Ex1-08H.clmp.fp2_repr.R1.fq.gz
Approx 10% complete for Hmi-CPar_048-Ex1-08H.clmp.fp2_repr.R1.fq.gz
Approx 15% complete for Hmi-CPar_048-Ex1-08H.clmp.fp2_repr.R1.fq.gz
Approx 20% complete for Hmi-CPar_048-Ex1-08H.clmp.fp2_repr.R1.fq.gz
Approx 25% complete for Hmi-CPar_048-Ex1-08H.clmp.fp2_repr.R1.fq.gz
Approx 30% complete for Hmi-CPar_048-Ex1-08H.clmp.fp2_repr.R1.fq.gz
Approx 35% complete for Hmi-CPar_048-Ex1-08H.clmp.fp2_repr.R1.fq.gz
Approx 40% complete for Hmi-CPar_048-Ex1-08H.clmp.fp2_repr.R1.fq.gz
Approx 45% complete for Hmi-CPar_048-Ex1-08H.clmp.fp2_repr.R1.fq.gz
Approx 50% complete for Hmi-CPar_048-Ex1-08H.clmp.fp2_repr.R1.fq.gz
Approx 55% complete for Hmi-CPar_048-Ex1-08H.clmp.fp2_repr.R1.fq.gz
Approx 60% complete for Hmi-CPar_048-Ex1-08H.clmp.fp2_repr.R1.fq.gz
Approx 65% complete for Hmi-CPar_048-Ex1-08H.clmp.fp2_repr.R1.fq.gz
Approx 70% complete for Hmi-CPar_048-Ex1-08H.clmp.fp2_repr.R1.fq.gz
Approx 75% complete for Hmi-CPar_048-Ex1-08H.clmp.fp2_repr.R1.fq.gz
Approx 80% complete for Hmi-CPar_048-Ex1-08H.clmp.fp2_repr.R1.fq.gz
Approx 85% complete for Hmi-CPar_048-Ex1-08H.clmp.fp2_repr.R1.fq.gz
Approx 90% complete for Hmi-CPar_048-Ex1-08H.clmp.fp2_repr.R1.fq.gz
Approx 95% complete for Hmi-CPar_048-Ex1-08H.clmp.fp2_repr.R1.fq.gz
Skipping 'Hmi-CPar_048-Ex1-08H.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Skipping 'Hmi-CPar_046-Ex1-07D.clmp.fp2_repr.orph.fq' which didn't exist, or couldn't be read
Analysis complete for Hmi-CPar_048-Ex1-08H.clmp.fp2_repr.R2.fq.gz
Started analysis of Hmi-CPar_048-Ex1-08H.clmp.fp2_repr.R2.fq.gz
Approx 5% complete for Hmi-CPar_048-Ex1-08H.clmp.fp2_repr.R2.fq.gz
Approx 10% complete for Hmi-CPar_048-Ex1-08H.clmp.fp2_repr.R2.fq.gz
Approx 15% complete for Hmi-CPar_048-Ex1-08H.clmp.fp2_repr.R2.fq.gz
Approx 20% complete for Hmi-CPar_048-Ex1-08H.clmp.fp2_repr.R2.fq.gz
Approx 25% complete for Hmi-CPar_048-Ex1-08H.clmp.fp2_repr.R2.fq.gz
Approx 30% complete for Hmi-CPar_048-Ex1-08H.clmp.fp2_repr.R2.fq.gz
Approx 35% complete for Hmi-CPar_048-Ex1-08H.clmp.fp2_repr.R2.fq.gz
Approx 40% complete for Hmi-CPar_048-Ex1-08H.clmp.fp2_repr.R2.fq.gz
Approx 45% complete for Hmi-CPar_048-Ex1-08H.clmp.fp2_repr.R2.fq.gz
Approx 50% complete for Hmi-CPar_048-Ex1-08H.clmp.fp2_repr.R2.fq.gz
Approx 55% complete for Hmi-CPar_048-Ex1-08H.clmp.fp2_repr.R2.fq.gz
Approx 60% complete for Hmi-CPar_048-Ex1-08H.clmp.fp2_repr.R2.fq.gz
Approx 65% complete for Hmi-CPar_048-Ex1-08H.clmp.fp2_repr.R2.fq.gz
Approx 70% complete for Hmi-CPar_048-Ex1-08H.clmp.fp2_repr.R2.fq.gz
Approx 75% complete for Hmi-CPar_048-Ex1-08H.clmp.fp2_repr.R2.fq.gz
Approx 80% complete for Hmi-CPar_048-Ex1-08H.clmp.fp2_repr.R2.fq.gz
Approx 85% complete for Hmi-CPar_048-Ex1-08H.clmp.fp2_repr.R2.fq.gz
Approx 90% complete for Hmi-CPar_048-Ex1-08H.clmp.fp2_repr.R2.fq.gz
Approx 95% complete for Hmi-CPar_048-Ex1-08H.clmp.fp2_repr.R2.fq.gz
Analysis complete for Hmi-AMac_048-Ex1-11F.clmp.fp2_repr.R1.fq.gz
Started analysis of Hmi-AMac_048-Ex1-11F.clmp.fp2_repr.R1.fq.gz
Approx 5% complete for Hmi-AMac_048-Ex1-11F.clmp.fp2_repr.R1.fq.gz
Approx 10% complete for Hmi-AMac_048-Ex1-11F.clmp.fp2_repr.R1.fq.gz
Approx 15% complete for Hmi-AMac_048-Ex1-11F.clmp.fp2_repr.R1.fq.gz
Approx 20% complete for Hmi-AMac_048-Ex1-11F.clmp.fp2_repr.R1.fq.gz
Approx 25% complete for Hmi-AMac_048-Ex1-11F.clmp.fp2_repr.R1.fq.gz
Approx 30% complete for Hmi-AMac_048-Ex1-11F.clmp.fp2_repr.R1.fq.gz
Approx 35% complete for Hmi-AMac_048-Ex1-11F.clmp.fp2_repr.R1.fq.gz
Approx 40% complete for Hmi-AMac_048-Ex1-11F.clmp.fp2_repr.R1.fq.gz
Approx 45% complete for Hmi-AMac_048-Ex1-11F.clmp.fp2_repr.R1.fq.gz
Approx 50% complete for Hmi-AMac_048-Ex1-11F.clmp.fp2_repr.R1.fq.gz
Approx 55% complete for Hmi-AMac_048-Ex1-11F.clmp.fp2_repr.R1.fq.gz
Approx 60% complete for Hmi-AMac_048-Ex1-11F.clmp.fp2_repr.R1.fq.gz
Approx 65% complete for Hmi-AMac_048-Ex1-11F.clmp.fp2_repr.R1.fq.gz
Approx 70% complete for Hmi-AMac_048-Ex1-11F.clmp.fp2_repr.R1.fq.gz
Approx 75% complete for Hmi-AMac_048-Ex1-11F.clmp.fp2_repr.R1.fq.gz
Approx 80% complete for Hmi-AMac_048-Ex1-11F.clmp.fp2_repr.R1.fq.gz
